All,Wszystko
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Ilość dni pozostałych do wykorzystania punktów lojalnościowych (%points_expiring): %remaining_days."
"After %remaining_days day(s) these points will expire.","Po % remaining_days dniach te punkty stracą ważność."
"You have a total of %points_balance points that may be used in our store:","Masz w sumie %points_balance punktów, które mogą być używane w naszym sklepie:"
"Reward points","Punkty lojalnościowe"
"Use reward points","Wykorzystaj punkty lojalnościowe"
"Your reward point was successfully applied","Twoje punkty lojalnościowe zostały pomyślnie wykorzystane"
"Manage Reward Points Balances","Zarządzaj saldem punktów lojalnościowych"
"Can Spend Reward Points","Można wydać punkty lojalnościowe"
"Enable Reward Points Functionality","Włącz obsługę punktów lojalnościowych"
"Enable Reward Points Functionality on Storefront","Włącz obsługę punktów lojalnościowych w witrynie sklepowej"
"Customers May See Reward Points History","Klienci mogą zobaczyć historię punktów lojalnościowych"
"Rewards Points Balance Redemption Threshold","Próg wykupu salda punktów lojalnościowych"
"An empty value disables this limitation.","Pusta wartość wyłącza to ograniczenie."
"Cap Reward Points Balance At","Górny limit punktów lojalnościowych"
"Reward Points Expire in (days)","Punkty lojalnościowe stracą ważność za (dni)"
"Reward Points Expiry Calculation","Obliczanie wygaśnięcia ważności punktów lojalnościowych"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statyczny"" precyzyjnie definiuje datę końca terminu ważności, gdy saldo wzrasta. ""Dynamiczny"" nie ma takiej daty, ale oblicza ją, gdy saldo jest sprawdzane pod kontem ważności."
"Refund Reward Points Automatically","Automatycznie zwracaj punkty lojalnościowe"
"Deduct Reward Points from Refund Amount Automatically","Automatycznie odlicz punkty lojalnościowe z refundowanej kwoty"
"Actions for Acquiring Reward Points by Customers","Akcje do zdobywania punktów lojalnościowych przez klienta"
Purchase,Zakup
"Added for spent money according to reward exchange rates.","Dodane za wydanie pieniędzy według kursów wymiany nagród."
Registration,Rejestracja
"Newsletter Signup","Zapisz się do Newsletter'a"
"Only for customers who subscribe for the first time.","Tylko dla klientów, którzy zapisują się po raz pierwszy."
"Converting Invitation to Customer","Konwertowanie zaproszenia na klienta"
"Invitation to Customer Conversions Quantity Limit","Limit ilościowy konwersji zaproszeń na klientów"
"Converting Invitation to Order","Konwertowanie zaproszenia na zamówienie"
"Invitation to Order Conversions Quantity Limit","Limit ilościowy konwersji zaproszeń na zamówienia"
"Invitation Conversion to Order Reward","Nagroda za konwersję zaproszenia na zamówienie"
"Review Submission","Oceń przedłożenie"
"After approval by administrator.","Po zatwierdzeniu przez administratora."
"Rewarded Reviews Submission Quantity Limit","Limit ilościowy nagradzania ocen przedłożeń"
"Subscribe Customers by Default","Domyślnie subskrybuj klientów"
"Balance Update Email","E-mail aktualizacji salda"
"Reward Points Expiry Warning Email","E-mail ostrzegający przed utratą ważności przez punkty lojalnościowe"
"Expiry Warning Before (days)","Ostrzeżenie przed wygaśnięciem przed (dni)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Nie podanie wartości, lub wprowadzenie wartości większej niż okres ważności wyłącza powiadomienie ostrzegawcze."
"Reward Points Rates","Stawki punktów lojalnościowych"
"Amount Balance","Bilans salda"
Expires,Wygasa
"Add Reward Points","Dodaj punkty lojalnościowe"
"Check out now and earn %1 for this order.","Kup teraz i zyskaj %1 za to zamówienie."
"Create an account on our site now and earn %1.","Utwórz konto w naszym sklepie i zyskaj %1."
"Subscribe to our newsletter now and earn %1.","Zapisz się do naszego newslettera już teraz i zyskaj %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Wyślij zaproszenie teraz i zyskaj %s po tym, jak adresat zarejestruje się w naszym sklepie."
"You can reward up to %s invitee registration(s).","Możesz nagrodzić do %s rejestracji z zaproszeń."
"Earn %s for purchases your invitees make.","Zyskaj %s po zakupach zaproszonych przez Ciebie osób."
"You can reward up to %s invitee purchase(s).","Możesz nagrodzić do %s zakupów z zaproszeń."
"Submit a review now and earn %1 after the review is approved.","Dodaj swoją recenzję teraz i zyskaj %1 po tym, jak zostanie ona zatwierdzona."
"You can reward up to %1 new reviews(s).","Możesz nagrodzić do %1 nowych recenzji."
Return,Zwrot
Returns,Zwroty
"Create Returns","Utworzyć zwroty"
"Select Items","Wybierz pozycje"
"New Return Request","Nowe żądanie zwrotu"
"Create New RMA for %1 in %2","Utwórz nowe zlecenie RMA dla %1 w %2"
"Create New RMA for %1","Utwórz nowe zlecenie RMA dla %1"
"Create New RMA","Utwórz nowe zlecenie RMA"
"Please Select Order","Proszę wybrać zamówienie"
Order,Zamówienie
"Purchase Point","Miejsce zakupu"
Purchased,Zakupiono
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Grand Total (Base)","Łączna suma (podstawowy)"
"Grand Total (Purchased)","Łączna suma (zakupu)"
"Are you sure you want to close this returns request?","Czy na pewno chcesz zamknąć ten wniosek zwrotu?"
"Return #%1 - %2","Zwraca #%1 - %2"
"RMA Item Details","Szczegóły produktów zlecenia RMA"
OK,OK
"Delete Image","Usuń obraz"
"View Full Size","Zobacz pełen rozmiar"
"Submit Comment","Dodaj komentarz"
"Custom Value","Niestandardowa wartość"
"Print Shipping Label","Wydrukuj etykietę wysyłkową"
"Show Packages","Pokaż paczki"
Items,Pozycje
"Return Items","Zwróć produkty"
Returned,Zwrócony
Approved,Approved
"Return Reason","Powód zwrotu"
"Item Condition","Stan produktu"
Resolution,Zwrot/wymiana
Split,Podział
"Return Information","Informacje o zwrotach"
RMA,RMA
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Wybrano opcję zmiany statusu\ów wybranych zleceń RMA na zamknięte. Czy jesteś pewnien, że chcesz kontynuować?"
"Return Item Attribute","Cecha pozycji zwrotu"
"Edit Return Item Attribute ""%1""","Edytuj atrybut zwrotu towaru ""%1"""
"New Return Item Attribute","Nowa cecha pozycji zwrotu"
"Submit Returns","Prześlij Odpowiedź"
"Add Selected Product(s) to returns","Dodaj wybrane produkty jako zwrot"
"Remaining Qty","Pozostała liczba"
"Requested Qty","Żądana liczba"
"Reason to Return","Powód zwrotu"
"Add Details","Dodaj szczegóły"
"The wrong RMA was requested.","Został zgłoszony zły RMA."
"This is the wrong RMA order ID.","Zły identyfikator zamówienia RMA."
"Invalid RMA","Błędne zlecenie RMA"
"Please enter a valid message.","proszę wprowadź poprawną wiadomość"
"We cannot add the RMA history.","Nie można dodać historii zleceń RMA."
"Invalid order","Nieprawidłowe zamówienie"
"We can't retrieve the product list right now.","W tej chwili nie możemy pobrać listy produktów."
"Please specify a carrier.","Proszę określić dostawcę."
"Please enter a tracking number.","Proszę wprowadzić kod śledzenia."
"We cannot initialize an RMA to add a tracking number.","My nie może zainicjować RMA do dodania numeru śledzenia."
"We can't add a message right now.","W tej chwili nie możemy dodać wiadomości."
"New Return","Nowy zwrot"
"%1 RMA(s) cannot be closed","%1 zleceń RMA nie może zostać zamkniętych"
"We cannot close the RMA request(s).","Nie można zamknąć żądań RMA."
"%1 RMA (s) have been closed.","%1 zleceń RMA zostało zamkniętych."
"You created a shipping label.","Utworzyłeś adres dostawy."
"We can't create a shipping label right now.","Teraz nie możemy utworzyć etykiety wysyłki."
"Manage RMA Item Attributes","Zarządzaj atrybutami produktów zleceń RMA"
"You deleted the RMA attribute.","Usunięty atrybut RMA."
"We can't delete the RMA item attribute right now.","Nie można teraz usunąć atrybutu produktu RMA."
"Edit Return Item Attribute","Edytuj atrybut zwrotu towaru"
"Returns Attributes","Atrybuty zwrotów"
"New Return Attribute","Nowy atrybut zwrotu"
"You saved the RMA item attribute.","Atrybut produktu RMA został zapisany."
"Something went wrong while saving the RMA item attribute.","Coś się zepsuło podczas zapisywania atrybutu element RMA."
"An attribute with the same code already exists.","Cecha o podanym kodzie już istnieje."
"The wrong RMA item was requested.","Niewłaściwy element RMA został zgłoszony."
"We cannot display the item attributes.","Nie można wyświetlić atrybutów produktu."
"There are no applicable items for return in this order.","Nie ma odpowiednich produktów dla zwrotu tego zamówienia."
"We don't recognize or support the file extension in shipment %1.","Nie możemy rozpoznać lub wesprzeć rozszerzenia pliku tej wysyłki: %1."
"Something went wrong creating a shipping label.","Coś się zepsuło, tworząc etykietę wysyłkową."
"A quantity you're trying to add exceeds the number of products we shipped.","Ilość którą próbujesz dodać przekracza liczbę wysyłanych przez nas produktów."
"Products should be added to package(s)","Produkty powinny zostać dodane do paczek"
"Please enter a valid value.","Podaj prawidłową wartość."
"This is the wrong RMA ID.","Zły identyfikator RMA."
"We cannot display the available shipping methods.","Nie można wyświetlić dostępnych metod wysyłki."
"We cannot initialize an RMA to delete a tracking number.","My nie może zainicjować RMA do usunięcia numeru śledzenia."
"We can't delete the tracking number right now.","W tej chwili nie możemy usunąć numeru śledzenia."
"We can't save this RMA.","Nie możemy zapisać tego RMA."
"You saved the RMA request.","Zapisano żądanie RMA."
"You did not email your customer. Please check your email settings.","Nie utworzono emalia klienta. Proszę sprawdzić ustawienia e-mail."
"You submitted the RMA request.","Zgłoszono żądanie RMA."
"No items for bundle product","Brak przedmiotów dla tego produktu grupowanego"
"The wrong order ID or item ID was requested.","Nieprawidłowy identyfikator zamówienia lub produktu."
"Shipping Labels are not allowed.","Etykiety wysyłkowe nie są dozwolone."
"Please select a valid carrier.","Proszę wybrać prawidłowego przewoźnika."
"Please enter a valid tracking number.","Proszę wprowadzić prawidłowy kod śledzenia przesyłki."
"We can't add a label right now.","W tej chwili nie możemy dodać etykiety."
"You selected the wrong RMA.","Wybrano niewłaściwy RMA."
"We can't create a return transaction for order #%1.","Nie możemy utworzyć transakcji zwrotnej dla zamówienia #%1."
"You submitted Return #%1.","Dodano zwrot #%1."
"We can't create a return right now. Please try again later.","W tej chwili nie możemy utworzyć zwrotu. Proszę spróbować później."
"Create New Return","Utwórz nowe żądanie zwrotu"
"We can't delete the label right now.","W tej chwili nie możemy usunąć etykiety."
"Return #%1","Zwrot #%1"
"Cannot add message.","Nie można dodać wiadomości."
"My Returns","Moje zwroty"
"Tracking Information","Informacje o stanie dostawy"
"Page not found","Nie znaleziono strony"
"Please check this order for errors.","Prosimy o sprawdzenie tego nakazu błędy."
"Contact Email Address","Kontaktowy adres e-mail"
"Only one RMA is available for printing","Można wydrukować tylko jedno zlecenie RMA"
"Return #","Zwrot #"
"Return Date:","Data zwrotu:"
"Order #","Zamówienie #"
Ordered:,Zamówione:
"Shipping Address:","Adres dla dostawy:"
"Return Address:","Adres zwrotny:"
Condition,"Stan produktu"
"There is an error in quantities for item %1.","W wartościach dla produktu %1 znajduje się błąd."
"Authorized Qty","Zatwierdzona liczba"
"Returned Qty","Zwrócona liczba"
"Approved Qty","Zaakceptowana liczba"
"%1 for item %2 cannot be empty.","%1 dla produktów %2 nie może być puste."
"You cannot return %1.","Nie możesz zwrócić %1."
"A quantity of %1 is greater than you can return.","Liczba %1 jest większa niż liczba przedmiotów, które możesz zwrócić."
"You entered an invalid type: ""%1"".","Podałeś nieprawidłowy typ: ""%1""."
"You entered an invalid email address: ""%1"".","Podałeś nieprawidłowy adres e-mail: ""%1""."
"You entered an invalid hostname: ""%1""","Wprowadzono nieprawidłową nazwę hosta: ""%1"""
"""%1"" is longer than allowed.","""%1"" jest dłuższa niż dozwolono."
"Unknown service","Nieznana usługa"
"We can't save this RMA. No items were specified.","Nie można zapisać tego RMA. Przedmioty nie zostały określone."
Pending,Pending
"Partially Authorized","Częściowo autoryzowane"
"Return Received","Przesyłka otrzymana"
"Return Partially Received","Żądanie zwrotu/wymiany częściowo otrzymane"
"Partially Approved","Częściowo zatwierdzone"
Rejected,Odrzucone
"Partially Rejected","Częściowo odrzucone"
Denied,"Zwrot odrzucony"
"Processed and Closed","Przetworzone i zamknięte"
"This is the wrong RMA item status.","To jest zły stan produktu RMA."
"We received your Return request.","Otrzymaliśmy zwrot wniosku."
"We authorized your Return request.","Upoważniono twoje żądanie zwrotu."
"We partially authorized your Return request.","Możemy częściowo upoważnić twoje żądanie zwrotu."
"We partially received your Return request.","Częściowo otrzymaliśmy zwrot wniosku."
"We partially approved your Return request.","Przyjęliśmy częściowo żądanie zwrotu."
"We partially rejected your Return request.","Możemy częściowo odrzucić żądanie zwrotu."
